year,codigoconvocatoria,descripcion_item,estado_item,monto_referencial_item,monto_adjudicado_item,moneda,fecha_convocatoria,fecha_buenapro,fecha_consentimiento_bp,tipoprocesoseleccion,objetocontractual,entidad_departamento,entidad,f_convo_buenapro,f_buenapro_consentimiento
2018,494521,EJECUCI¿N DEL PROYECTO: ¿MEJORAMIENTO Y REHABILITACI¿N DEL CAMINO VECINAL EMP.R571 ¿ JOS¿ G¿LVEZ ¿ PACHIN ALTO¿ DISTRITO DE OTUZCO ¿ PROVINCIA DE OTUZCO ¿ REGI¿N LA LIBERTAD¿ C¿DIGO ¿NICO DE INVERSI¿N 2396855.,Contratado,7989327.92,7989327.92,Soles,2018-11-19,2018-12-13,2018-12-14,Procedimiento Especial de Contratación,Obra,LA LIBERTAD,MUNICIPALIDAD PROVINCIAL DE OTUZCO,24,1
2018,466513,"CONTRATACI¿N DE EJECUCI¿N DE OBRA - COMPONENTE I: ESPACIOS F¿SICOS ADECUADOS ""MEJORAMIENTO DEL SERVICIO EDUCATIVO, EN EL MARCO DE LA AMPLIACI¿N DE COBERTURA 2014, EN EL SEGUNDO CICLO DE LA EBR, EN LAS I.E. N¿ 00910, 210, 206 Y 455, SECTOR CORDILLERA, DISTRITO DE MOYOBAMBA, JURISDICCI¿N DE LA UGEL MOYOBAMBA - SAN MARTIN""",Contratado,6135738.98,6135738.98,Soles,2018-08-10,2018-11-17,2018-12-03,Licitación Pública,Obra,SAN MARTIN,GOBIERNO REGIONAL DE SAN MARTIN SEDE CENTRAL,99,16
2018,500600,"EJECUCI¿N DE OBRA MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA I.E. N¿ 64114 FERNANDO BELAUNDE TERRY ¿ CC.PP. BOQUER¿N, DISTRITO Y PROVINCIA DE PADRE ABAD ¿ UCAYALI¿ SNIP N¿ 264449 ¿ CUI N¿ 2259857",Contratado,5896191.2,5896191.2,Soles,2018-10-23,2018-12-20,2018-12-20,Licitación Pública,Obra,UCAYALI,GOBIERNO REGIONAL DE UCAYALI SEDE CENTRAL,58,0
2018,460199,ADQUISICION DEL SUMINISTRO DE ALIMENTOS A TRAVES DE TARJETAS DE CONSUMO COMO SOPORTE PARA LA PREVENCI¿N Y REDUCCI¿N DE RIESGOS DE ENFERMEDADES OCUPACIONALES PARA LOS TRABAJADORES DEL HOSPITAL CAYETANO HEREDIA,Contratado,9125600.0,9098223.2,Soles,2018-07-17,2018-08-17,2018-09-03,Licitación Pública,Bien,LIMA,HOSPITAL CAYETANO HEREDIA,31,17
2018,504515,CONTRATACI¿N DEL SERVICIO DE SEGURIDAD Y VIGILANCIA PARA LAS INSTALACIONES DE LA CIUDAD UNIVERSITARIA Y ZONA MONUMENTAL DE LA UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,Contratado,5695328.72,5691278.08,Soles,2018-12-27,2019-01-15,2019-01-23,Adjudicación Simplificada,Servicio,CUSCO,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO-UNSAAC,19,8
2018,459316,"SERVICIO DE LIMPIEZA HOSPITALARIA, FUMIGACI¿N Y JARDINER¿A DEL INMP Y EX INO",Contratado,9114817.49,6883683.12,Soles,2018-07-12,2018-09-25,2018-10-11,Concurso Público,Servicio,LIMA,INSTITUTO NACIONAL MATERNO PERINATAL,75,16
2018,456020,"Ejecuci¿n del Proyecto : Mejoramiento de los servicios de salud en el establecimiento I-4 Canchaque, Distrito de Canchaque, Provincia de Huancabamba, Departamento Piura, con c¿digo de Proyecto N¿ 2234514 (antes c¿digo SNIP N¿ 169396)",Contratado,8856207.78,8723364.66,Soles,2018-06-28,2018-09-20,2018-10-05,Licitación Pública,Obra,PIURA,GOBIERNO REGIONAL DE PIURA SEDE CENTRAL,84,15
2018,448604,Contrataci¿n del Suministro del Dispositivo M¿dico: Dializador para hemodi¿lisis de bajo flujo de membrana sint¿tica de 1.8m2 - 2.0m2  para las Redes Asistenciales de Essalud por un per¿odo de dieciocho (18) meses - 2018-2019,Contratado,10430940.0,7288285.0,Soles,2018-05-31,2018-12-05,2018-12-21,Licitación Pública,Bien,LIMA,SEGURO SOCIAL DE SALUD,188,16
2018,463693,"Contrataci¿n de la ejecuci¿n de la obra: ¿MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO EN EL CENTRO POBLADO DE CHURUZAPA, DISTRITO DE RUMISAPA, PROVINCIA DE LAMAS - SAN MARTIN¿",Contratado,6062054.75,6052000.0,Soles,2018-08-01,2018-09-07,2018-09-10,Licitación Pública,Obra,SAN MARTIN,MUNICIPALIDAD DISTRITAL DE RUMISAPA,37,3
2018,496593,Ejecuci¿n del saldo de Obra del proyecto de Inversi¿n Publica Mejoramiento del Servicio de An¿lisis en los Laboratorios de referencia del SANIPES en la regi¿n Lima.,Contratado,6764908.09,6764908.09,Soles,2018-11-26,2019-03-08,2019-03-20,Licitación Pública,Obra,CALLAO,ORGANISMO NACIONAL DE SANIDAD PESQUERA,102,12
2018,424697,CONTRATACI¿N DE P¿LIZA DE SEGURO DE OBRAS TERMINADAS,Contratado,5434823.16,5434823.16,Nuevos Soles,2018-02-05,2018-02-05,2018-02-06,Contratación Directa,Servicio,ANCASH,GOBIERNO REGIONAL DE ANCASH - PROYECTO ESPECIAL CHINECAS,0,1
2018,461049,OBRA: MEJORAMIENTO Y AMPLIACI¿N DEL SERVICIO DE AGUA POTABLE Y DESAGUE - CONDURIRI,Contratado,8162156.17,8162156.17,Soles,2018-07-19,2018-09-08,2018-09-11,Licitación Pública,Obra,PUNO,MUNICIPALIDAD DISTRITAL DE CONDURIRI,51,3
2018,499789,"Contrataci¿n para la Ejecuci¿n de la Obra ¿Mejoramiento de Pistas y Veredas Jr. Francisco Bolognesi de la Ciudad de Paita, Provincia de Paita ¿ Piura, Ciudad de Paita, Distrito de Paita, Provincia de Paita ¿ Regi¿n Piura¿",Contratado,7076507.02,6368856.32,Soles,2018-12-05,2018-12-18,2018-12-26,Procedimiento Especial de Contratación,Obra,PIURA,MUNICIPALIDAD PROVINCIAL DE PAITA,13,8
2018,469990,"EJECUCION DE LA OBRA: CREACI¿N DEL SERVICIO DE PROTECCI¿N Y CONTROL DE INUNDACIONES EN EL RIO PATIVILCA, SECTOR LAS V¿RGENES-COCHAS, PROVINCIA DE OCROS, REGI¿N DE ANCASH",Contratado,5189275.62,5189275.62,Soles,2018-06-07,2018-09-15,2018-09-15,Licitación Pública,Obra,ANCASH,MUNICIPALIDAD DISTRITAL DE COCHAS - OCROS,100,0
2018,448615,"MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LAS LOCALIDADES  DE TONCO, MARAYCASA Y TAMBO",Contratado,6931380.0,6931380.0,Soles,2018-02-21,2018-06-11,2018-06-12,Licitación Pública,Obra,AREQUIPA,MUNICIPALIDAD DISTRITAL DE QUICACHA,110,1
2018,473602,"SERVICIO DE MANTENIMIENTO Y EMERGENCIA TACNA, ILO Y MOQUEGUA",Contratado,25073873.99,22000062.43,Nuevos Soles,2018-09-07,2018-09-26,2018-10-04,Adjudicación Simplificada,Servicio,TACNA,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD - ELECTROSUR S.A.,19,8
2018,456227,"EJECUCI¿N DE LA OBRA: MEJORAMIENTO DE LOS SERVICIOS EDUCACI¿N EN LOS NIVELES INICIAL N¿ 381, N¿ 10595, N¿ 378 Y PRIMARIA N¿ 10757, N¿10590, N¿ 10595, N¿ 10589, N¿10597 DE LAS LOCALIDADES DE LA IRACA, LA GRANJA, PARAGUAY, PACOPAMPA, EL ROCOTO Y EL NARANJO, DISTRITO DE QUEROCOTO-CHOTA-CAJAMARCA.",Contratado,18138600.92,18130300.92,Soles,2018-06-28,2018-08-16,2018-08-22,Licitación Pública,Obra,CAJAMARCA,MUNICIPALIDAD DISTRITAL DE QUEROCOTO,49,6
2018,449596,"OBRA:INSTALACION DEL SERVICIO DE ENERGIA ELECTRICA MEDIANTE REDES PRIMARIAS 10 KV  Y SECUNDARIAS EN LA ASOCIACION DE VIVIENDA PROMUVI SENOR DE LOS MILAGROS VINANI, DISTRITO CORONEL GREGORIO ALBARRACIN LANCHIPA, PROVINCIA TACNA.",Contratado,7946197.3,7303349.94,Soles,2018-05-31,2018-07-20,2018-08-03,Licitación Pública,Obra,TACNA,EMPRESA REGIONAL DE SERVICIO PUBLICO DE ELECTRICIDAD - ELECTROSUR S.A.,50,14
2018,451828,ARRENDAMIENTO OPERATIVO DE VEHICULOS,Contratado,12492441.94,9469754.88,Soles,2018-06-15,2018-07-03,2018-07-11,Adjudicación Simplificada,Servicio,LIMA,FONDO NACIONAL DE FINANCIAMIENTO DE LA ACTIVIDAD EMPRESARIAL - FONAFE,18,8
2018,506700,"SERVICIO DE HABILITACI¿N, ACONDICIONAMIENTO Y LOGISTICA INFORMATICA- REF 2018",Contratado,8954949.0,8954949.0,Soles,2018-11-08,2019-01-11,2019-01-11,Regímen Especial,Servicio,LIMA,OFICINA NACIONAL DE PROCESOS ELECTORALES,64,0
2018,465792,obra: Mejoramiento de la Infraestructura Restauraci¿n y Equipamiento del Hospicio Manrique para el PIP Mejoramiento del Servicio Cultural en el Hospicio Manrique,Contratado,17178681.57,17178681.57,Soles,2018-06-27,2018-08-28,2018-08-29,Licitación Pública,Obra,LIMA,EMPRESA MUNICIPAL INMOBILIARIA DE LIMA S.A.,62,1
2018,441241,LISTADO DE INSTITUCIONES EDUCATIVAS DEL ITEM 3 (DE LOS TERMINOS DE REFERENCIA),Contratado,14599671.0,10219769.7,Soles,2018-04-23,2018-12-01,2018-12-13,Concurso Público,Servicio,LIMA,PROGRAMA EDUCACION BASICA PARA TODOS UE 026,222,12
2018,468196,CONTRATACION DEL SERVICIO DE SEGURIDAD  Y VIGILANCIA DE LAS INSTALACIONES DE LA UNFV,Contratado,6393240.0,5800920.12,Soles,2018-08-17,2018-10-26,2018-11-12,Concurso Público,Servicio,LIMA,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,70,17
